"Date","Open","High","Low","Close","Volume"
"2017-04-13",65.05999755859375,65.77570343017578,63.31999969482422,64.12999725341797,22559374
"2017-04-07",65.23999786376953,65.93000030517578,64.6500015258789,65.54000091552734,23801458
"2017-03-31",65.37000274658203,66.2750015258789,65.1500015258789,65.16000366210938,21487115
"2017-03-24",65.77999877929688,66.11499786376953,65.04000091552734,65.62000274658203,23257932
"2017-03-17",65.87000274658203,66.79000091552734,65.30000305175781,65.69000244140625,32997472
"2017-03-10",63.,66.44999694824219,62.880001068115234,65.87999725341797,43270039
"2017-03-03",62.02000045776367,63.5989990234375,61.68000030517578,63.34000015258789,34023807
"2017-02-24",61.84000015258789,62.23529815673828,61.29999923706055,62.09000015258789,29519798
"2017-02-17",60.58000183105469,62.08000183105469,60.150001525878906,61.77000045776367,42672327
"2017-02-10",60.5099983215332,61.02000045776367,60.04999923706055,60.41999816894531,25000089
"2017-02-03",59.90999984741211,61.314998626708984,59.27000045776367,60.66999816894531,33666717
"2017-01-27",61.02000045776367,61.900001525878906,59.52000045776367,60.,41856053
"2017-01-20",61.75,62.13999938964844,61.08000183105469,61.150001525878906,26080274
"2017-01-13",63.79999923706055,64.5,60.41999816894531,61.9900016784668,44372660
"2017-01-06",62.91999816894531,64.,61.935001373291016,63.790000915527344,28084681
"2016-12-30",62.52000045776367,63.060001373291016,62.25,62.619998931884766,21575803
"2016-12-23",62.369998931884766,63.33000183105469,61.349998474121094,62.34000015258789,27651298
"2016-12-16",61.529998779296875,62.4900016784668,61.36000061035156,62.220001220703125,36672494
"2016-12-09",59.599998474121094,61.92499923706055,58.79999923706055,61.540000915527344,47228813
"2016-12-02",59.130001068115234,62.099998474121094,58.75,59.43000030517578,43445435
"2016-11-25",60.70000076293945,60.79999923706055,58.599998474121094,60.5099983215332,23369470
"2016-11-18",63.400001525878906,63.63999938964844,60.38999938964844,60.52000045776367,32400032
"2016-11-11",56.810001373291016,65.05000305175781,56.6349983215332,63.099998474121094,71960650
"2016-11-04",57.060001373291016,57.29999923706055,55.68000030517578,56.040000915527344,54793833
"2016-10-28",61.130001068115234,61.720001220703125,55.06230163574219,57.599998474121094,46406189
"2016-10-21",60.099998474121094,62.15999984741211,59.86000061035156,60.97999954223633,27115646
"2016-10-14",63.06999969482422,63.65999984741211,60.150001525878906,60.16999816894531,24602605
"2016-10-07",63.02000045776367,63.75,62.25,62.93000030517578,21660286
